	title	link	source	salary
104	QA Automation Engineer (Middle, Senior)	https://hh.ru/vacancy/51095305?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': 1500, 'max': 3000, 'currency': 'USD'}
105	QA Engineer/ Тестировщик ПО	https://hh.ru/vacancy/50816585?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
106	Senior QA Automation Engineer	https://hh.ru/vacancy/50405525?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
107	Automation QA Engineer	https://hh.ru/vacancy/50794905?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
108	QA Engineer	https://hh.ru/vacancy/50771524?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
109	Менеджер IT-проектов (с опытом QA или разработчика)	https://hh.ru/vacancy/50029950?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
110	Python developer	https://hh.ru/vacancy/48331830?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
111	Technical Writer	https://hh.ru/vacancy/50134348?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
112	Technical Support Engineer (L3)	https://hh.ru/vacancy/44299382?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
113	Специалист по тестированию / QA engineer (тестировщик)	https://hh.ru/vacancy/51083865?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': 1200, 'max': None, 'currency': 'USD'}
114	Junior QA Engineer	https://hh.ru/vacancy/50726234?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
115	Junior Trainee Quality Assurance Specialist	https://hh.ru/vacancy/51650669?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': 300, 'max': 600, 'currency': 'USD'}
116	QA Automation Engineer (Java)	https://hh.ru/vacancy/50998164?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
117	Middle/Senior Backend QA Engineer	https://hh.ru/vacancy/47760147?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
118	QA Automation Engineer (Java)	https://hh.ru/vacancy/49975597?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
119	Junior Java Developer (лаборатория)	https://hh.ru/vacancy/51420788?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
120	Java developer (Big data)	https://hh.ru/vacancy/50905850?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
121	Front-End (React) Developer (Blockchain Startup)	https://hh.ru/vacancy/51059684?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
122	Product Manager	https://hh.ru/vacancy/50936577?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
123	Senior Android Developer	https://hh.ru/vacancy/50584216?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
124	Business Analyst / Project Manager	https://hh.ru/vacancy/51791503?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
125	IT Project manager	https://hh.ru/vacancy/51201937?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
126	Layout designer/ Technical Artist(Game Integrator)	https://hh.ru/vacancy/50489115?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
127	Senior Project Manager	https://hh.ru/vacancy/51085362?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
128	Business Analyst	https://hh.ru/vacancy/51422947?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
129	Solution Architect (web)	https://hh.ru/vacancy/50787128?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
130	IT recruiter	https://hh.ru/vacancy/51801456?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
131	Project Manager	https://hh.ru/vacancy/50792796?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
132	.NET Developer (Opportunity 2)	https://hh.ru/vacancy/50922500?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
133	Linux System Engineer/DevOps	https://hh.ru/vacancy/51352184?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
134	Localization manager	https://hh.ru/vacancy/51254034?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
135	Бизнес-аналитик	https://hh.ru/vacancy/51255666?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
136	Middle/Senior IOS Developer	https://hh.ru/vacancy/47293464?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
